Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,scouting_report
793,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,30.0,1994.0,32,30,2418,26.9,8,8,16,7,1,2,3,0,10.1,8.5,8.5,17.0,26,86,166,0.3,0.3,0.6,0.26,0.56,0.38,0.31,0.69,0.32,0.63,Scouting Report for Marvin Ducksch. Team: Werder Bremen. Position: FW. Age: 30.0. Nation: de GER. Matches Played: 32. Minutes: 2418. Goals: 8. Assists: 8. Non-Penalty xG (npxG): 8.5. Expected Assists (xAG): 8.5. Progressive Carries: 26. Progressive Passes: 86. 
794,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,29.0,1994.0,28,27,2395,26.6,1,3,4,1,0,0,12,1,1.0,1.0,3.2,4.2,23,117,26,0.04,0.11,0.15,0.04,0.15,0.04,0.12,0.16,0.04,0.16,Scouting Report for Ondrej Duda. Team: Hellas Verona. Position: MF. Age: 29.0. Nation: sk SVK. Matches Played: 28. Minutes: 2395. Goals: 1. Assists: 3. Non-Penalty xG (npxG): 1.0. Expected Assists (xAG): 3.2. Progressive Carries: 23. Progressive Passes: 117. 
796,Denzel Dumfries,nl NED,"DF,FW",Inter,it Serie A,28.0,1996.0,29,20,1955,21.7,7,2,9,7,0,0,4,0,5.4,5.4,3.2,8.6,55,51,173,0.32,0.09,0.41,0.32,0.41,0.25,0.15,0.4,0.25,0.4,"Scouting Report for Denzel Dumfries. Team: Inter. Position: DF,FW. Age: 28.0. Nation: nl NED. Matches Played: 29. Minutes: 1955. Goals: 7. Assists: 2. Non-Penalty xG (npxG): 5.4. Expected Assists (xAG): 3.2. Progressive Carries: 55. Progressive Passes: 51. "
797,Alfred Duncan,gh GHA,MF,Venezia,it Serie A,31.0,1993.0,16,12,957,10.6,0,0,0,0,0,0,2,0,0.8,0.8,1.1,1.9,11,53,12,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.18,0.07,0.18,Scouting Report for Alfred Duncan. Team: Venezia. Position: MF. Age: 31.0. Nation: gh GHA. Matches Played: 16. Minutes: 957. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.8. Expected Assists (xAG): 1.1. Progressive Carries: 11. Progressive Passes: 53. 
798,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,32.0,1991.0,25,23,2083,23.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Scouting Report for Lewis Dunk. Team: Brighton. Position: DF. Age: 32.0. Nation: eng ENG. Matches Played: 25. Minutes: 2083. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.8. Expected Assists (xAG): 0.5. Progressive Carries: 20. Progressive Passes: 142. 
799,Jáder Durán,co COL,FW,Aston Villa,eng Premier League,20.0,2003.0,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Scouting Report for Jáder Durán. Team: Aston Villa. Position: FW. Age: 20.0. Nation: co COL. Matches Played: 20. Minutes: 638. Goals: 7. Assists: 0. Non-Penalty xG (npxG): 4.9. Expected Assists (xAG): 0.2. Progressive Carries: 7. Progressive Passes: 13. 
800,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,23.0,2001.0,27,15,1394,15.5,4,4,8,4,0,0,3,0,3.6,3.6,2.8,6.5,24,30,124,0.26,0.26,0.52,0.26,0.52,0.24,0.18,0.42,0.24,0.42,"Scouting Report for Pablo Durán. Team: Celta Vigo. Position: FW,MF. Age: 23.0. Nation: es ESP. Matches Played: 27. Minutes: 1394. Goals: 4. Assists: 4. Non-Penalty xG (npxG): 3.6. Expected Assists (xAG): 2.8. Progressive Carries: 24. Progressive Passes: 30. "
801,Julien Duranville,be BEL,"FW,MF",Dortmund,de Bundesliga,18.0,2006.0,12,2,283,3.1,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.6,16,7,33,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.18,0.08,0.18,"Scouting Report for Julien Duranville. Team: Dortmund. Position: FW,MF. Age: 18.0. Nation: be BEL. Matches Played: 12. Minutes: 283. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.2. Expected Assists (xAG): 0.3. Progressive Carries: 16. Progressive Passes: 7. "
802,Hugo Duro,es ESP,FW,Valencia,es La Liga,24.0,1999.0,31,25,2166,24.1,11,2,13,10,1,1,5,0,9.4,8.6,1.3,9.9,13,28,88,0.46,0.08,0.54,0.42,0.5,0.39,0.05,0.44,0.36,0.41,Scouting Report for Hugo Duro. Team: Valencia. Position: FW. Age: 24.0. Nation: es ESP. Matches Played: 31. Minutes: 2166. Goals: 11. Assists: 2. Non-Penalty xG (npxG): 8.6. Expected Assists (xAG): 1.3. Progressive Carries: 13. Progressive Passes: 28. 
803,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,27.0,1997.0,9,7,537,6.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,22,8,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06,Scouting Report for Jean-Kevin Duverne. Team: Nantes. Position: DF. Age: 27.0. Nation: ht HAI. Matches Played: 9. Minutes: 537. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.3. Expected Assists (xAG): 0.1. Progressive Carries: 6. Progressive Passes: 22. 
804,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,30.0,1993.0,24,16,1417,15.7,6,3,9,3,3,3,2,0,6.4,4.0,5.0,9.0,41,79,122,0.38,0.19,0.57,0.19,0.38,0.4,0.32,0.72,0.25,0.57,"Scouting Report for Paulo Dybala. Team: Roma. Position: FW,MF. Age: 30.0. Nation: ar ARG. Matches Played: 24. Minutes: 1417. Goals: 6. Assists: 3. Non-Penalty xG (npxG): 4.0. Expected Assists (xAG): 5.0. Progressive Carries: 41. Progressive Passes: 79. "
805,Stefan Džodić,rs SRB,"DF,MF",Montpellier,fr Ligue 1,19.0,2005.0,7,2,242,2.7,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,2,10,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,"Scouting Report for Stefan Džodić. Team: Montpellier. Position: DF,MF. Age: 19.0. Nation: rs SRB. Matches Played: 7. Minutes: 242. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.1. Expected Assists (xAG): 0.0. Progressive Carries: 2. Progressive Passes: 10. "
806,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,de Bundesliga,28.0,1995.0,16,2,373,4.1,0,0,0,0,0,0,2,1,0.4,0.4,0.0,0.4,1,14,4,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,"Scouting Report for Adam Dźwigała. Team: St. Pauli. Position: DF,MF. Age: 28.0. Nation: pl POL. Matches Played: 16. Minutes: 373. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.4. Expected Assists (xAG): 0.0. Progressive Carries: 1. Progressive Passes: 14. "
807,Aron Dønnum,no NOR,"DF,MF",Toulouse,fr Ligue 1,26.0,1998.0,32,31,2689,29.9,2,2,4,2,0,0,6,0,2.1,2.1,4.6,6.7,94,126,142,0.07,0.07,0.13,0.07,0.13,0.07,0.15,0.22,0.07,0.22,"Scouting Report for Aron Dønnum. Team: Toulouse. Position: DF,MF. Age: 26.0. Nation: no NOR. Matches Played: 32. Minutes: 2689. Goals: 2. Assists: 2. Non-Penalty xG (npxG): 2.1. Expected Assists (xAG): 4.6. Progressive Carries: 94. Progressive Passes: 126. "
811,Ederson,br BRA,GK,Manchester City,eng Premier League,30.0,1993.0,26,26,2320,25.8,0,4,4,0,0,0,4,0,0.0,0.0,1.5,1.5,0,2,0,0.0,0.16,0.16,0.0,0.16,0.0,0.06,0.06,0.0,0.06,Scouting Report for Ederson. Team: Manchester City. Position: GK. Age: 30.0. Nation: br BRA. Matches Played: 26. Minutes: 2320. Goals: 0. Assists: 4. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 1.5. Progressive Carries: 0. Progressive Passes: 2. 
812,Éderson,br BRA,MF,Atalanta,it Serie A,25.0,1999.0,37,32,2881,32.0,4,1,5,4,0,0,5,1,4.1,4.1,4.3,8.4,40,216,79,0.12,0.03,0.16,0.12,0.16,0.13,0.14,0.26,0.13,0.26,Scouting Report for Éderson. Team: Atalanta. Position: MF. Age: 25.0. Nation: br BRA. Matches Played: 37. Minutes: 2881. Goals: 4. Assists: 1. Non-Penalty xG (npxG): 4.1. Expected Assists (xAG): 4.3. Progressive Carries: 40. Progressive Passes: 216. 
819,Johannes Eggestein,de GER,FW,St. Pauli,de Bundesliga,26.0,1998.0,27,22,1853,20.6,3,4,7,2,1,2,3,0,4.7,3.1,2.1,5.2,25,43,138,0.15,0.19,0.34,0.1,0.29,0.23,0.1,0.33,0.15,0.25,Scouting Report for Johannes Eggestein. Team: St. Pauli. Position: FW. Age: 26.0. Nation: de GER. Matches Played: 27. Minutes: 1853. Goals: 3. Assists: 4. Non-Penalty xG (npxG): 3.1. Expected Assists (xAG): 2.1. Progressive Carries: 25. Progressive Passes: 43. 
820,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,27.0,1996.0,33,33,2845,31.6,2,0,2,2,0,0,4,0,2.0,2.0,1.5,3.5,34,141,41,0.06,0.0,0.06,0.06,0.06,0.06,0.05,0.11,0.06,0.11,Scouting Report for Maximilian Eggestein. Team: Freiburg. Position: MF. Age: 27.0. Nation: de GER. Matches Played: 33. Minutes: 2845. Goals: 2. Assists: 0. Non-Penalty xG (npxG): 2.0. Expected Assists (xAG): 1.5. Progressive Carries: 34. Progressive Passes: 141. 
821,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,29.0,1995.0,33,30,2498,27.8,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.5,54,55,116,0.0,0.04,0.04,0.0,0.04,0.04,0.08,0.12,0.04,0.12,Scouting Report for Kingsley Ehizibue. Team: Udinese. Position: DF. Age: 29.0. Nation: nl NED. Matches Played: 33. Minutes: 2498. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 1.2. Expected Assists (xAG): 2.2. Progressive Carries: 54. Progressive Passes: 55. 
822,Chidera Ejuke,ng NGA,FW,Sevilla,es La Liga,26.0,1998.0,25,9,966,10.7,2,1,3,2,0,0,0,0,1.1,1.1,1.9,3.0,75,38,101,0.19,0.09,0.28,0.19,0.28,0.1,0.17,0.28,0.1,0.28,Scouting Report for Chidera Ejuke. Team: Sevilla. Position: FW. Age: 26.0. Nation: ng NGA. Matches Played: 25. Minutes: 966. Goals: 2. Assists: 1. Non-Penalty xG (npxG): 1.1. Expected Assists (xAG): 1.9. Progressive Carries: 75. Progressive Passes: 38. 
823,Jeff Ekhator,it ITA,"FW,MF",Genoa,it Serie A,17.0,2006.0,24,6,769,8.5,1,1,2,1,0,0,1,0,1.3,1.3,1.0,2.3,4,14,51,0.12,0.12,0.23,0.12,0.23,0.16,0.12,0.27,0.16,0.27,"Scouting Report for Jeff Ekhator. Team: Genoa. Position: FW,MF. Age: 17.0. Nation: it ITA. Matches Played: 24. Minutes: 769. Goals: 1. Assists: 1. Non-Penalty xG (npxG): 1.3. Expected Assists (xAG): 1.0. Progressive Carries: 4. Progressive Passes: 14. "
824,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,22.0,2002.0,33,31,2563,28.5,15,8,23,14,1,3,1,0,21.6,19.3,6.8,26.0,93,53,215,0.53,0.28,0.81,0.49,0.77,0.76,0.24,0.99,0.68,0.91,Scouting Report for Hugo Ekitike. Team: Eint Frankfurt. Position: FW. Age: 22.0. Nation: fr FRA. Matches Played: 33. Minutes: 2563. Goals: 15. Assists: 8. Non-Penalty xG (npxG): 19.3. Expected Assists (xAG): 6.8. Progressive Carries: 93. Progressive Passes: 53. 
825,Jurgen Ekkelenkamp,nl NED,MF,Udinese,it Serie A,24.0,2000.0,34,20,1892,21.0,3,2,5,3,0,0,2,0,2.8,2.8,1.3,4.1,34,72,86,0.14,0.1,0.24,0.14,0.24,0.13,0.06,0.19,0.13,0.19,Scouting Report for Jurgen Ekkelenkamp. Team: Udinese. Position: MF. Age: 24.0. Nation: nl NED. Matches Played: 34. Minutes: 1892. Goals: 3. Assists: 2. Non-Penalty xG (npxG): 2.8. Expected Assists (xAG): 1.3. Progressive Carries: 34. Progressive Passes: 72. 
826,Jacques Ekomie,ga GAB,"DF,FW",Angers,fr Ligue 1,20.0,2003.0,18,7,697,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,13,20,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Scouting Report for Jacques Ekomie. Team: Angers. Position: DF,FW. Age: 20.0. Nation: ga GAB. Matches Played: 18. Minutes: 697. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.0. Progressive Carries: 13. Progressive Passes: 20. "
827,Emmanuel Ekong,se SWE,"MF,FW",Empoli,it Serie A,22.0,2002.0,15,0,186,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,5,19,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,"Scouting Report for Emmanuel Ekong. Team: Empoli. Position: MF,FW. Age: 22.0. Nation: se SWE. Matches Played: 15. Minutes: 186. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.1. Expected Assists (xAG): 0.1. Progressive Carries: 8. Progressive Passes: 5. "
828,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,30.0,1994.0,18,3,555,6.2,1,3,4,1,0,0,1,0,2.8,2.8,0.8,3.5,7,8,42,0.16,0.49,0.65,0.16,0.65,0.45,0.12,0.57,0.45,0.57,Scouting Report for Caleb Ekuban. Team: Genoa. Position: FW. Age: 30.0. Nation: gh GHA. Matches Played: 18. Minutes: 555. Goals: 1. Assists: 3. Non-Penalty xG (npxG): 2.8. Expected Assists (xAG): 0.8. Progressive Carries: 7. Progressive Passes: 8. 
829,Pierre Ekwah Elimby,fr FRA,MF,Saint-Étienne,fr Ligue 1,22.0,2002.0,29,29,2575,28.6,1,0,1,1,0,0,3,0,0.7,0.7,1.0,1.7,20,146,21,0.03,0.0,0.03,0.03,0.03,0.03,0.04,0.06,0.03,0.06,Scouting Report for Pierre Ekwah Elimby. Team: Saint-Étienne. Position: MF. Age: 22.0. Nation: fr FRA. Matches Played: 29. Minutes: 2575. Goals: 1. Assists: 0. Non-Penalty xG (npxG): 0.7. Expected Assists (xAG): 1.0. Progressive Carries: 20. Progressive Passes: 146. 
830,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,22.0,2002.0,38,31,2501,27.8,6,11,17,6,0,0,1,0,4.5,4.5,5.7,10.1,102,63,229,0.22,0.4,0.61,0.22,0.61,0.16,0.2,0.36,0.16,0.36,"Scouting Report for Anthony Elanga. Team: Nott'ham Forest. Position: FW,MF. Age: 22.0. Nation: se SWE. Matches Played: 38. Minutes: 2501. Goals: 6. Assists: 11. Non-Penalty xG (npxG): 4.5. Expected Assists (xAG): 5.7. Progressive Carries: 102. Progressive Passes: 63. "
832,Mikael Ellertsson,is ISL,"DF,MF",Venezia,it Serie A,22.0,2002.0,36,29,2470,27.4,2,2,4,2,0,0,2,0,1.1,1.1,1.6,2.7,33,36,92,0.07,0.07,0.15,0.07,0.15,0.04,0.06,0.1,0.04,0.1,"Scouting Report for Mikael Ellertsson. Team: Venezia. Position: DF,MF. Age: 22.0. Nation: is ISL. Matches Played: 36. Minutes: 2470. Goals: 2. Assists: 2. Non-Penalty xG (npxG): 1.1. Expected Assists (xAG): 1.6. Progressive Carries: 33. Progressive Passes: 36. "
833,Harvey Elliott,eng ENG,MF,Liverpool,eng Premier League,21.0,2003.0,18,2,371,4.1,1,2,3,1,0,0,1,0,1.8,1.8,1.1,2.8,10,44,30,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69,Scouting Report for Harvey Elliott. Team: Liverpool. Position: MF. Age: 21.0. Nation: eng ENG. Matches Played: 18. Minutes: 371. Goals: 1. Assists: 2. Non-Penalty xG (npxG): 1.8. Expected Assists (xAG): 1.1. Progressive Carries: 10. Progressive Passes: 44. 
834,Elif Elmas,mk MKD,"FW,MF",Torino,it Serie A,24.0,1999.0,13,12,1021,11.3,4,0,4,4,0,0,0,0,1.4,1.4,0.4,1.8,42,34,58,0.35,0.0,0.35,0.35,0.35,0.12,0.04,0.16,0.12,0.16,"Scouting Report for Elif Elmas. Team: Torino. Position: FW,MF. Age: 24.0. Nation: mk MKD. Matches Played: 13. Minutes: 1021. Goals: 4. Assists: 0. Non-Penalty xG (npxG): 1.4. Expected Assists (xAG): 0.4. Progressive Carries: 42. Progressive Passes: 34. "
836,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,30.0,1994.0,22,16,1457,16.2,0,0,0,0,0,0,2,1,0.4,0.4,0.2,0.6,17,51,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Scouting Report for Aritz Elustondo. Team: Real Sociedad. Position: DF. Age: 30.0. Nation: es ESP. Matches Played: 22. Minutes: 1457. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.4. Expected Assists (xAG): 0.2. Progressive Carries: 17. Progressive Passes: 51. 
837,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,27.0,1996.0,25,25,2135,23.7,1,1,2,1,0,0,1,0,2.0,2.0,0.4,2.5,20,55,5,0.04,0.04,0.08,0.04,0.08,0.09,0.02,0.1,0.09,0.1,Scouting Report for Nico Elvedi. Team: Gladbach. Position: DF. Age: 27.0. Nation: ch SUI. Matches Played: 25. Minutes: 2135. Goals: 1. Assists: 1. Non-Penalty xG (npxG): 2.0. Expected Assists (xAG): 0.4. Progressive Carries: 20. Progressive Passes: 55. 
838,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,es La Liga,32.0,1992.0,35,18,1607,17.9,1,1,2,1,0,0,4,0,2.1,2.1,2.7,4.8,47,45,114,0.06,0.06,0.11,0.06,0.11,0.12,0.15,0.27,0.12,0.27,"Scouting Report for Adri Embarba. Team: Rayo Vallecano. Position: FW,MF. Age: 32.0. Nation: es ESP. Matches Played: 35. Minutes: 1607. Goals: 1. Assists: 1. Non-Penalty xG (npxG): 2.1. Expected Assists (xAG): 2.7. Progressive Carries: 47. Progressive Passes: 45. "
839,Breel Embolo,ch SUI,"FW,MF",Monaco,fr Ligue 1,27.0,1997.0,29,19,1841,20.5,6,4,10,6,0,0,5,0,10.8,10.8,5.6,16.4,22,55,140,0.29,0.2,0.49,0.29,0.49,0.53,0.28,0.8,0.53,0.8,"Scouting Report for Breel Embolo. Team: Monaco. Position: FW,MF. Age: 27.0. Nation: ch SUI. Matches Played: 29. Minutes: 1841. Goals: 6. Assists: 4. Non-Penalty xG (npxG): 10.8. Expected Assists (xAG): 5.6. Progressive Carries: 22. Progressive Passes: 55. "
840,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,21.0,2003.0,27,27,2293,25.5,14,3,17,14,0,0,5,0,17.0,17.0,2.4,19.4,37,14,104,0.55,0.12,0.67,0.55,0.67,0.67,0.1,0.76,0.67,0.76,Scouting Report for Emanuel Emegha. Team: Strasbourg. Position: FW. Age: 21.0. Nation: nl NED. Matches Played: 27. Minutes: 2293. Goals: 14. Assists: 3. Non-Penalty xG (npxG): 17.0. Expected Assists (xAG): 2.4. Progressive Carries: 37. Progressive Passes: 14. 
841,Emerson,br BRA,DF,Milan,it Serie A,25.0,1999.0,17,16,1377,15.3,0,0,0,0,0,0,5,0,0.4,0.4,0.7,1.1,23,68,71,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07,Scouting Report for Emerson. Team: Milan. Position: DF. Age: 25.0. Nation: br BRA. Matches Played: 17. Minutes: 1377. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.4. Expected Assists (xAG): 0.7. Progressive Carries: 23. Progressive Passes: 68. 
843,Julio Enciso,py PAR,"MF,FW",Ipswich Town,eng Premier League,20.0,2004.0,13,12,869,9.7,2,3,5,2,0,0,3,0,1.7,1.7,1.4,3.1,23,28,44,0.21,0.31,0.52,0.21,0.52,0.18,0.14,0.32,0.18,0.32,"Scouting Report for Julio Enciso. Team: Ipswich Town. Position: MF,FW. Age: 20.0. Nation: py PAR. Matches Played: 13. Minutes: 869. Goals: 2. Assists: 3. Non-Penalty xG (npxG): 1.7. Expected Assists (xAG): 1.4. Progressive Carries: 23. Progressive Passes: 28. "
844,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,20.0,2004.0,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.0,0.0,0.0,0.0,0.0,0.31,0.07,0.38,0.31,0.38,"Scouting Report for Julio Enciso. Team: Brighton. Position: MF,FW. Age: 20.0. Nation: py PAR. Matches Played: 12. Minutes: 294. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 1.0. Expected Assists (xAG): 0.2. Progressive Carries: 11. Progressive Passes: 14. "
845,Wataru Endo,jp JPN,"MF,DF",Liverpool,eng Premier League,31.0,1993.0,20,1,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,19,8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,"Scouting Report for Wataru Endo. Team: Liverpool. Position: MF,DF. Age: 31.0. Nation: jp JPN. Matches Played: 20. Minutes: 273. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.0. Expected Assists (xAG): 0.1. Progressive Carries: 1. Progressive Passes: 19. "
846,Endrick,br BRA,FW,Real Madrid,es La Liga,18.0,2006.0,22,3,363,4.0,1,0,1,1,0,0,1,0,2.5,2.5,0.5,3.0,12,8,32,0.25,0.0,0.25,0.25,0.25,0.61,0.12,0.73,0.61,0.73,Scouting Report for Endrick. Team: Real Madrid. Position: FW. Age: 18.0. Nation: br BRA. Matches Played: 22. Minutes: 363. Goals: 1. Assists: 0. Non-Penalty xG (npxG): 2.5. Expected Assists (xAG): 0.5. Progressive Carries: 12. Progressive Passes: 8. 
847,Yannik Engelhardt,de GER,"MF,DF",Como,it Serie A,23.0,2001.0,26,11,1164,12.9,1,1,2,1,0,0,4,0,0.6,0.6,1.5,2.0,18,54,18,0.08,0.08,0.15,0.08,0.15,0.04,0.11,0.16,0.04,0.16,"Scouting Report for Yannik Engelhardt. Team: Como. Position: MF,DF. Age: 23.0. Nation: de GER. Matches Played: 26. Minutes: 1164. Goals: 1. Assists: 1. Non-Penalty xG (npxG): 0.6. Expected Assists (xAG): 1.5. Progressive Carries: 18. Progressive Passes: 54. "
849,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,32.0,1992.0,23,11,1061,11.8,1,2,3,0,1,1,4,0,1.4,0.6,3.2,3.8,13,55,29,0.08,0.17,0.25,0.0,0.17,0.12,0.27,0.39,0.05,0.32,Scouting Report for Christian Eriksen. Team: Manchester Utd. Position: MF. Age: 32.0. Nation: dk DEN. Matches Played: 23. Minutes: 1061. Goals: 1. Assists: 2. Non-Penalty xG (npxG): 0.6. Expected Assists (xAG): 3.2. Progressive Carries: 13. Progressive Passes: 55. 
850,Martin Erlic,hr CRO,DF,Bologna,it Serie A,26.0,1998.0,8,5,334,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,11,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Scouting Report for Martin Erlic. Team: Bologna. Position: DF. Age: 26.0. Nation: hr CRO. Matches Played: 8. Minutes: 334. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.2. Expected Assists (xAG): 0.0. Progressive Carries: 4. Progressive Passes: 11. 
851,Patrick Erras,de GER,DF,Holstein Kiel,de Bundesliga,29.0,1995.0,10,10,832,9.2,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,3,25,1,0.11,0.0,0.11,0.11,0.11,0.1,0.01,0.11,0.1,0.11,Scouting Report for Patrick Erras. Team: Holstein Kiel. Position: DF. Age: 29.0. Nation: de GER. Matches Played: 10. Minutes: 832. Goals: 1. Assists: 0. Non-Penalty xG (npxG): 0.9. Expected Assists (xAG): 0.1. Progressive Carries: 3. Progressive Passes: 25. 
852,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,32.0,1992.0,16,9,833,9.3,0,1,1,0,0,0,4,0,0.4,0.4,0.6,1.1,10,39,29,0.0,0.11,0.11,0.0,0.11,0.05,0.07,0.12,0.05,0.12,Scouting Report for Alfonso Espino. Team: Rayo Vallecano. Position: DF. Age: 32.0. Nation: uy URU. Matches Played: 16. Minutes: 833. Goals: 0. Assists: 1. Non-Penalty xG (npxG): 0.4. Expected Assists (xAG): 0.6. Progressive Carries: 10. Progressive Passes: 39. 
853,Sebastiano Esposito,it ITA,"FW,MF",Empoli,it Serie A,22.0,2002.0,33,27,2331,25.9,8,0,8,7,1,2,1,0,5.7,4.2,2.1,6.3,31,93,106,0.31,0.0,0.31,0.27,0.27,0.22,0.08,0.3,0.16,0.24,"Scouting Report for Sebastiano Esposito. Team: Empoli. Position: FW,MF. Age: 22.0. Nation: it ITA. Matches Played: 33. Minutes: 2331. Goals: 8. Assists: 0. Non-Penalty xG (npxG): 4.2. Expected Assists (xAG): 2.1. Progressive Carries: 31. Progressive Passes: 93. "
855,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,26.0,1998.0,30,21,1636,18.2,7,2,9,7,0,0,4,2,4.2,4.2,1.3,5.5,33,21,118,0.39,0.11,0.5,0.39,0.5,0.23,0.07,0.3,0.23,0.3,Scouting Report for Samuel Essende. Team: Augsburg. Position: FW. Age: 26.0. Nation: cd COD. Matches Played: 30. Minutes: 1636. Goals: 7. Assists: 2. Non-Penalty xG (npxG): 4.2. Expected Assists (xAG): 1.3. Progressive Carries: 33. Progressive Passes: 21. 
856,Dario Essugo,pt POR,MF,Las Palmas,es La Liga,19.0,2005.0,27,25,1938,21.5,1,0,1,1,0,0,11,2,0.7,0.7,0.4,1.0,18,76,8,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Scouting Report for Dario Essugo. Team: Las Palmas. Position: MF. Age: 19.0. Nation: pt POR. Matches Played: 27. Minutes: 1938. Goals: 1. Assists: 0. Non-Penalty xG (npxG): 0.7. Expected Assists (xAG): 0.4. Progressive Carries: 18. Progressive Passes: 76. 
858,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,28.0,1995.0,14,7,657,7.3,0,0,0,0,0,0,3,0,0.1,0.1,0.8,0.8,3,30,4,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.12,0.01,0.12,Scouting Report for Nahuel Estévez. Team: Parma. Position: MF. Age: 28.0. Nation: ar ARG. Matches Played: 14. Minutes: 657. Goals: 0. Assists: 0. Non-Penalty xG (npxG): 0.1. Expected Assists (xAG): 0.8. Progressive Carries: 3. Progressive Passes: 30. 
